iter	Logloss
0	0.6283261638
1	0.5508617475
2	0.5017640505
3	0.4645546317
4	0.4279498056
5	0.4060584034
6	0.3860737614
7	0.3637888675
8	0.3515948461
9	0.3432696844
10	0.3340012311
11	0.3282400925
12	0.3219013477
13	0.3170176524
14	0.3110607137
15	0.3069966634
16	0.3029779692
17	0.2993610056
18	0.2946520508
19	0.2921665707
20	0.2904016584
21	0.2882973957
22	0.2867007715
23	0.2835295286
24	0.2821147908
25	0.2812431062
26	0.2792721373
27	0.2778210601
28	0.275512338
29	0.2745620475
30	0.2714998229
31	0.2706639734
32	0.2695800529
33	0.2681504767
34	0.2669713885
35	0.2665105562
36	0.2657135052
37	0.2647284516
38	0.2643255859
39	0.2627999802
40	0.2624980832
41	0.2617374136
42	0.2605670687
43	0.2597511439
44	0.2593447683
45	0.2590150229
46	0.2583140434
47	0.2579981276
48	0.2575974057
49	0.2563857612
50	0.2558398707
51	0.2546223832
52	0.2543317516
53	0.2541545101
54	0.2538276231
55	0.2535921417
56	0.2527983274
57	0.2524794061
58	0.2522153828
59	0.2515993145
60	0.2512150704
61	0.2496727137
62	0.2495443171
63	0.2494248319
64	0.2490445182
65	0.2484297529
66	0.2482230026
67	0.2476007131
68	0.2468408001
69	0.2465819472
70	0.245618878
71	0.2452837941
72	0.2450522431
73	0.2444876048
74	0.2439941743
75	0.2433963492
76	0.243002395
77	0.2425498017
78	0.2421794292
79	0.2419873703
80	0.2417049355
81	0.2413316417
82	0.2409360061
83	0.2405755329
84	0.2400873147
85	0.2398098612
86	0.2396747179
87	0.2389779209
88	0.23873584
89	0.2381078337
90	0.2379544681
91	0.2376627856
92	0.2368855962
93	0.2360617477
94	0.2358514034
95	0.2352599677
96	0.2348180093
97	0.2341815539
98	0.2341222842
99	0.2336871775
100	0.2334978718
101	0.2330809034
102	0.2321977221
103	0.2321178342
104	0.2320302538
105	0.231054595
106	0.2308655416
107	0.2304481948
108	0.230078558
109	0.229509506
110	0.2294645704
111	0.2293350808
112	0.2287509803
113	0.228489416
114	0.2282338208
115	0.2275829052
116	0.2272827527
117	0.226679463
118	0.2261197849
119	0.2258424155
120	0.2255223172
121	0.2252182553
122	0.2245030259
123	0.2241342508
124	0.2239202914
125	0.2235087875
126	0.2229715142
127	0.222262506
128	0.2216448823
129	0.2215737797
130	0.2212028398
131	0.2207535883
132	0.2205010406
133	0.2199396391
134	0.2195309305
135	0.2190234812
136	0.2186178833
137	0.2179874809
138	0.2173963605
139	0.2170147226
140	0.2165973338
141	0.2161411884
142	0.2156034948
143	0.2152509453
144	0.2149897384
145	0.2144868288
146	0.214099222
147	0.2136796053
148	0.21336432
149	0.2131740475
150	0.2125941715
151	0.2119305613
152	0.2117026043
153	0.2115108395
154	0.2112695363
155	0.2108847458
156	0.2106337534
157	0.2101527022
158	0.2099483059
159	0.2096648413
160	0.2090454942
161	0.2087893736
162	0.2085897903
163	0.2083736451
164	0.2076391635
165	0.2069176288
166	0.2063210017
167	0.2060846796
168	0.2057741654
169	0.2054972163
170	0.2052917901
171	0.2048417189
172	0.2044381806
173	0.2041239673
174	0.2036756405
175	0.2034582553
176	0.2030961428
177	0.2029471489
178	0.2024849295
179	0.2022331175
180	0.2020176449
181	0.2018061026
182	0.2014207026
183	0.2011572888
184	0.2010642648
185	0.2005660002
186	0.2001230119
187	0.1998169744
188	0.1993974418
189	0.1992403561
190	0.1990892605
191	0.1987167653
192	0.1982465171
193	0.1978940097
194	0.197749997
195	0.1976536522
196	0.1975673959
197	0.1972251871
198	0.1969290909
199	0.1965150229
200	0.1959725792
201	0.1956006095
202	0.1954800735
203	0.1951188857
204	0.1947263187
205	0.194507126
206	0.194464208
207	0.1942796944
208	0.1941855144
209	0.1937589409
210	0.1934027343
211	0.1931770682
212	0.192855835
213	0.1925919378
214	0.192451414
215	0.1922670265
216	0.191882257
217	0.1918164508
218	0.1914661082
219	0.1913149705
220	0.1911438661
221	0.1909488646
222	0.1906638448
223	0.19053528
224	0.1903790771
225	0.1901521289
226	0.1898534896
227	0.1896374495
228	0.1892224356
229	0.1888493309
230	0.1885091398
231	0.1884104201
232	0.1882634229
233	0.1880678539
234	0.1878240286
235	0.1875372642
236	0.1872049547
237	0.1868237372
238	0.186607508
239	0.1862809993
240	0.1860631937
241	0.185836792
242	0.18571035
243	0.1854075282
244	0.1849545145
245	0.1847334723
246	0.1843054485
247	0.1840617703
248	0.1836676479
249	0.1834512085
250	0.1833098651
251	0.1830327688
252	0.1827868417
253	0.1824739524
254	0.1823058325
255	0.182171614
256	0.1818757701
257	0.1817521445
258	0.1815498709
259	0.1811663835
260	0.1808359025
261	0.1805606979
262	0.1802973051
263	0.1801912502
264	0.1799021739
265	0.1795253911
266	0.1790164285
267	0.178834479
268	0.1785579082
269	0.178043397
270	0.177834566
271	0.1776697879
272	0.1775830482
273	0.1773532205
274	0.1771408375
275	0.1770122097
276	0.1766046361
277	0.1764772694
278	0.1764187143
279	0.1762128152
280	0.1759634937
281	0.1758642801
282	0.1757815337
283	0.1756606719
284	0.1752918338
285	0.17519241
286	0.1750459487
287	0.1748941805
288	0.1745623544
289	0.1741709433
290	0.1738726403
291	0.1737042367
292	0.1732019997
293	0.1728493136
294	0.172570536
295	0.1724332804
296	0.1722639205
297	0.1721868384
298	0.1720208202
299	0.1717673478
